Sentence,Target Index,Lemma,Category,Inflection Label,Word Form,Dimension,Source Type
"To the west , the campus is bordered by Duchesne Dr",5,campus,Noun,singular,campus,,NaturalWikiText
Combat Infantryman Badge,0,combat,Noun,base,combat,,NaturalWikiText
1898 – The Gin Mill Primer,4,mill,Noun,singular,mill,,NaturalWikiText
"Hygrophorus agathosmus is edible , but considered bland",5,but,Noun,base,but,,NaturalWikiText
Ask for Seymour,0,ask,Verb,singular,ask,,NaturalWikiText
The steel alone is worth $ 3 million,4,worth,Noun,base,worth,,NaturalWikiText
= = = Habré takes N 'Djamena = = =,4,take,Verb,plural,takes,,NaturalWikiText
"Brit # 7 ( Image , 2008 )",4,image,Noun,base,image,,NaturalWikiText
intermedius living from 75 @,1,live,Verb,base,living,,NaturalWikiText
"However , he charged them only $ 10 @,@ 000",3,charge,Noun,past,charged,,NaturalWikiText
"The garbage pickup costs taxpayers about $ 245 @,@ 000 annually",3,cost,Verb,plural,costs,,NaturalWikiText
= = Practical effects of finiteness = =,2,practical,Noun,singular,practical,,NaturalWikiText
""" Look "" – Sebastien Tellier",1,look,Verb,base,look,,NaturalWikiText
All except Drummond were regular starters,4,regular,Noun,singular,regular,,NaturalWikiText
"= = = = Genre : "" A Fiction "" = = = =",4,genre,Noun,singular,genre,,NaturalWikiText
I characterized yesterday.,1,characterize,Verb,past,characterized,Tense/Aspect,Template
The existence of different forms of B,3,different,Noun,singular,different,,NaturalWikiText
He seems to have conquered Gosse completely,3,have,Verb,singular,have,,NaturalWikiText
= = After the 2006 coup = =,5,coup,Noun,singular,coup,,NaturalWikiText
Timothy Henry Pitman,1,henry,Noun,singular,henry,,NaturalWikiText
= = Arrangement of scales = =,4,scale,Noun,plural,scales,,NaturalWikiText
Pop Tatari ( 1992 ),0,pop,Noun,singular,pop,,NaturalWikiText
Lucia to a point 16 km ( 9 @,3,point,Noun,base,point,,NaturalWikiText
"Then , on 15 February , Singapore fell",7,fall,Noun,past,fell,,NaturalWikiText
"1 "" ( a reference to N",4,reference,Noun,singular,reference,,NaturalWikiText
= = = Buildup of ice = = =,5,ice,Noun,singular,ice,,NaturalWikiText
Nobody thinks they 're evil,0,nobody,Noun,singular,nobody,,NaturalWikiText
Thereafter he is apprentice to the ExtraOrdinary Wizard Marcia Overstrand,6,extraordinary,Noun,singular,extraordinary,,NaturalWikiText
= = Works by Pennant = =,2,work,Noun,base,works,,NaturalWikiText
"Goals for , GA = Goals against",0,goal,Noun,plural,goals,,NaturalWikiText
= = Biology and ecology = =,3,and,Noun,base,and,,NaturalWikiText
The townships existed before the parish,5,parish,Verb,base,parish,,NaturalWikiText
= = = Peptide bond formation = = =,4,bond,Noun,singular,bond,,NaturalWikiText
English is spoken by 74 @,2,speak,Verb,past,spoken,,NaturalWikiText
9 offered them the opportunity,1,offer,Noun,past,offered,,NaturalWikiText
""" New Guys "" was viewed by 4 @",5,view,Noun,past,viewed,,NaturalWikiText
@ 71 inches ( 17 @,2,inch,Noun,base,inches,,NaturalWikiText
"= = Canadian Alliance leadership , 2002 – 03 = =",3,alliance,Noun,singular,alliance,,NaturalWikiText
"After Ratoff 's death , producer Charles K",5,producer,Noun,singular,producer,,NaturalWikiText
Foreign imports were discouraged,0,foreign,Noun,singular,foreign,,NaturalWikiText
They were of lower rank,3,low,Noun,positive,lower,,NaturalWikiText
It is the strict one.,3,strict,Adjective,superlative,strict,Degree,Template
""" Come On "" – 2 : 58",1,come,Verb,singular,come,,NaturalWikiText
The Minor v,1,minor,Noun,singular,minor,,NaturalWikiText
= Belle Vue Zoological Gardens =,4,garden,Noun,base,gardens,,NaturalWikiText
= = = Latest presidential election = = =,3,late,Noun,positive,latest,,NaturalWikiText
"Eighteen Upbuilding Discourses , 1845 , Hong translation , p",6,hong,Noun,singular,hong,,NaturalWikiText
"Kuznetsova was the only winner , defeating Pennetta",4,winner,Noun,singular,winner,,NaturalWikiText
"Belgium , on 9 February 1957 to a Belgian couple",9,couple,Noun,positive,couple,,NaturalWikiText
"GameSpot 's Chris Watters thought the pistol was a "" neat twist on the humble sidearm """,4,thinke,Verb,past,thought,,NaturalWikiText
= = = Lone Scouts of America = = =,4,scout,Noun,plural,scouts,,NaturalWikiText
"However , printing of these banknotes ceased after 1815",6,cease,Verb,past,ceased,,NaturalWikiText
@ 4 km ) to the Lycoming County line,8,line,Noun,base,line,,NaturalWikiText
' s YouTube channel,3,channel,Noun,base,channel,,NaturalWikiText
- Missing their children,1,missing,Noun,singular,missing,,NaturalWikiText
"Woodstock ' 79 ( 1991 video , filmed 1979 )",5,video,Noun,singular,video,,NaturalWikiText
= Political integration of India =,1,political,Noun,singular,political,,NaturalWikiText
= Solo ( Gonzalo Rubalcaba album ) =,1,solo,Noun,base,solo,,NaturalWikiText
The Weird Ones,2,one,Noun,plural,ones,,NaturalWikiText
= = = 1830 – 1900 : Under a cloud = = =,9,cloud,Noun,base,cloud,,NaturalWikiText
Fluoride therapy is often recommended to protect against dental caries,1,therapy,Noun,singular,therapy,,NaturalWikiText
Please forgive a loose tongue,3,loose,Verb,singular,loose,,NaturalWikiText
Jejuri : The foremost center of worship of Khandoba,6,worship,Noun,base,worship,,NaturalWikiText
""" He 's definitely the moral compass",5,moral,Noun,singular,moral,,NaturalWikiText
Most of the chemistry of tellurium is characteristic of a nonmetal,7,characteristic,Noun,positive,characteristic,,NaturalWikiText
@ 5 million ) to clear the most pressing obligations,5,clear,Verb,positive,clear,,NaturalWikiText
He appears to be carrying Sapieha,4,carrying,Noun,singular,carrying,,NaturalWikiText
Prototype of B @-@ 70,0,prototype,Noun,base,prototype,,NaturalWikiText
George was awarded :,2,award,Noun,past,awarded,,NaturalWikiText
I like the dirt,1,like,Verb,positive,like,,NaturalWikiText
Raise Your Fist ( 2012 ),0,raise,Verb,singular,raise,,NaturalWikiText
They marry anyway,1,marry,Verb,base,marry,,NaturalWikiText
to Nazi Germany,1,nazi,Noun,singular,nazi,,NaturalWikiText
= = = = Brand switches ( 2008 – 2010 ) = = = =,4,brand,Noun,base,brand,,NaturalWikiText
"] of the true Arab blood """,3,TRUE,Noun,positive,true,,NaturalWikiText
Ralph Waldo Emerson also benefited from Greeley 's promotion,0,ralph,Verb,singular,ralph,,NaturalWikiText
Le Guin ’ s Earthsea trilogy,5,trilogy,Noun,singular,trilogy,,NaturalWikiText
= = = Jerry Claiborne ( 1972 – 1981 ) = = =,3,jerry,Noun,singular,jerry,,NaturalWikiText
"design objects "" to Threes",1,object,Noun,base,objects,,NaturalWikiText
Personal Memoirs of U,0,personal,Noun,singular,personal,,NaturalWikiText
"However , the Croatian government reacted furiously to the JNA move",10,move,Verb,singular,move,,NaturalWikiText
"1 + 1 → 0 , carry 1 ( since 1 + 1",6,carry,Verb,base,carry,,NaturalWikiText
He then scattered the shards to the four winds,8,wind,Verb,plural,winds,,NaturalWikiText
= = = Selection of delegates = = =,5,delegate,Noun,base,delegates,,NaturalWikiText
May 3 – Colonna – 9 ; Fantuzzi – 9 ; Stoppani – 5 ; Pozzobonelli – 4 ; Ganganelli – 4,0,may,Noun,singular,may,,NaturalWikiText
[ Dohring ] was hired to be the obligatory psychotic jackass,4,hire,Noun,past,hired,,NaturalWikiText
Wollstonecraft rewrites the traditional narrative of the redeemed prostitute ( e,3,traditional,Noun,singular,traditional,,NaturalWikiText
= = = 2013 : Injury struggles = = =,5,injury,Noun,singular,injury,,NaturalWikiText
The new foliage is a pinkish purple,6,purple,Noun,base,purple,,NaturalWikiText
The entire length of the tail was about 3 @,5,tail,Noun,base,tail,,NaturalWikiText
The plan was successful,1,plan,Noun,base,plan,,NaturalWikiText
A cornerstone of the genre,4,genre,Noun,singular,genre,,NaturalWikiText
"Andante cantabile , B minor = = =",4,minor,Noun,singular,minor,,NaturalWikiText
= = = = Views on pedophilia = = = =,4,view,Noun,base,views,,NaturalWikiText
1640 – Jannon leaves Sedan for Paris,3,leave,Verb,base,leaves,,NaturalWikiText
"Last movement , Symphonie , Op",0,last,Verb,base,last,,NaturalWikiText
= = = Executive President ( since 1987 ) = = =,3,executive,Noun,positive,executive,,NaturalWikiText
= = Criticism of the term = =,5,term,Noun,positive,term,,NaturalWikiText
"Sam Houston , Jr",0,sam,Verb,base,sam,,NaturalWikiText
"William , Count of Poitiers ( 1153 – 1156 )",2,count,Verb,base,count,,NaturalWikiText
"Schrute , Acting Manager """,3,manager,Noun,singular,manager,,NaturalWikiText
Hohoff was impressed,2,impress,Verb,past,impressed,,NaturalWikiText
"These concerns were supported by Penny Low , MP for Pasir Ris – Punggol GRC",6,low,Noun,base,low,,NaturalWikiText
= = View from Paris = =,2,view,Noun,base,view,,NaturalWikiText
"<formula> is the initial wavelength ,",3,initial,Verb,base,initial,,NaturalWikiText
= Snakes on a Plane =,4,plane,Noun,positive,plane,,NaturalWikiText
Meals were often accompanied by beatings,3,accompany,Verb,past,accompanied,,NaturalWikiText
"3 "" was dropped",3,drop,Verb,past,dropped,,NaturalWikiText
@ 8 million units,3,unit,Noun,plural,units,,NaturalWikiText
The anal fin is silver,2,fin,Noun,base,fin,,NaturalWikiText
@ 1 % increase from 31 @,3,increase,Verb,singular,increase,,NaturalWikiText
@ 7 mi ) to the rear,6,rear,Verb,singular,rear,,NaturalWikiText
They were returned to U,2,returne,Verb,past,returned,,NaturalWikiText
= = = = Translation mechanical mobility analogy = = = =,5,mechanical,Noun,singular,mechanical,,NaturalWikiText
= = Sites of Interest = =,2,site,Noun,plural,sites,,NaturalWikiText
""" I Want You ( intro jam ) """,6,jam,Noun,base,jam,,NaturalWikiText
"Horseman , pass by !",2,pass,Verb,singular,pass,,NaturalWikiText
", Kawaler , Steven D",3,steven,Noun,singular,steven,,NaturalWikiText
"Although usually trivalent , europium readily forms divalent compounds",8,compound,Noun,base,compounds,,NaturalWikiText
Nourrison 's plan to eradicate Valérie,2,plan,Noun,base,plan,,NaturalWikiText
Measuring 16 by 12 millimetres ( 0 @,0,measuring,Noun,singular,measuring,,NaturalWikiText
= The Problem Solvers =,2,problem,Noun,positive,problem,,NaturalWikiText
= = = The Conclusion of the Matter = = =,4,conclusion,Noun,singular,conclusion,,NaturalWikiText
= Lone Survivor ( film ) =,2,survivor,Noun,singular,survivor,,NaturalWikiText
Marty Paich – arrangements ( strings ),5,string,Noun,base,strings,,NaturalWikiText
Delinquent Angels ( 1951 ),1,angel,Noun,plural,angels,,NaturalWikiText
", all @-@ or @-@ nothing signals )",6,signal,Noun,plural,signals,,NaturalWikiText
The earliest species of Smilodon is S,1,early,Noun,positive,earliest,,NaturalWikiText
Ligue 1 Top Goalscorer : 2007 – 08,2,top,Verb,singular,top,,NaturalWikiText
' You wouldn 't get intelligence or compassion,4,get,Verb,singular,get,,NaturalWikiText
"Once again , intelligence estimates of Japanese strength were questionable",4,estimate,Noun,base,estimates,,NaturalWikiText
= = Remnants of infrastructure = =,2,remnant,Noun,plural,remnants,,NaturalWikiText
Byrd to challenge Barkley,2,challenge,Noun,base,challenge,,NaturalWikiText
= = = North choir aisle = = =,4,choir,Verb,base,choir,,NaturalWikiText
"On 6 December 1382 , Richard ordered the crusade to be published throughout England",11,publish,Verb,past,published,,NaturalWikiText
= = = Medieval Grandmasters of the Order = = =,3,medieval,Noun,positive,medieval,,NaturalWikiText
The 1930s were rough,3,rough,Noun,singular,rough,,NaturalWikiText
Edwards Hand – Edwards Hand ( 1969 ),1,hand,Noun,base,hand,,NaturalWikiText
The architecture competition was planned for 2005,4,plan,Noun,past,planned,,NaturalWikiText
"Additionally , the banana crop was ruined",4,crop,Noun,singular,crop,,NaturalWikiText
The knowledge of the area spurred Fritz R,1,knowledge,Noun,base,knowledge,,NaturalWikiText
Symphony for Solo Piano ( Op,2,solo,Noun,positive,solo,,NaturalWikiText
I seemed yesterday.,1,seeme,Verb,past,seemed,Tense/Aspect,Template
The details vary from dialect to dialect,2,vary,Verb,base,vary,,NaturalWikiText
The molar mass of salt is 58 @,2,mass,Noun,base,mass,,NaturalWikiText
Einsteinium ( III ) oxide ( Es2O3 ) was obtained by burning einsteinium ( III ) nitrate,11,burning,Noun,singular,burning,,NaturalWikiText
"David Weiss – percussion , saw",5,saw,Noun,base,saw,,NaturalWikiText
"Foster , Edward ( 1995 )",0,foster,Noun,base,foster,,NaturalWikiText
Ministry of Defence ( MINDEF ),2,defence,Noun,singular,defence,,NaturalWikiText
"@ 27 % from the jury ) , 13 @",5,jury,Noun,base,jury,,NaturalWikiText
Jejuri : The foremost center of worship of Khandoba,6,worship,Noun,singular,worship,,NaturalWikiText
@ 8 days ( 19 @,2,day,Noun,plural,days,,NaturalWikiText
Branagh 's Hamlet runs for around four hours,2,hamlet,Noun,singular,hamlet,,NaturalWikiText
They 're extremely bright,3,bright,Noun,singular,bright,,NaturalWikiText
"Brian Epstein , the owner of NEMS",4,owner,Noun,singular,owner,,NaturalWikiText
Americium is a highly radioactive element,5,element,Noun,base,element,,NaturalWikiText
Legal expert Roger S,1,expert,Noun,singular,expert,,NaturalWikiText
@ 3 g per 100 g of dried mushroom,8,mushroom,Noun,base,mushroom,,NaturalWikiText
They calculated B,1,calculate,Verb,past,calculated,,NaturalWikiText
The riots focused on the Jewish community,2,focus,Noun,past,focused,,NaturalWikiText
22 of Banjara Hills,3,hill,Noun,plural,hills,,NaturalWikiText
"@ 3 mya for Pico Laco 's dome , 3 @",7,dome,Noun,base,dome,,NaturalWikiText
= = The Calcutta convoy = =,4,convoy,Verb,base,convoy,,NaturalWikiText
Completely Well ( 1969 ),1,well,Noun,singular,well,,NaturalWikiText
Aubame was offered the presidency of the newly formed provisional government,2,offer,Noun,past,offered,,NaturalWikiText
"@ 0 million kids 2 @-@ 11 , 12 @",3,kid,Verb,plural,kids,,NaturalWikiText
"@ 0 , implying winds of 85 km / h ( 55 mph )",4,wind,Verb,base,winds,,NaturalWikiText
After Confederate Maj,1,confederate,Noun,positive,confederate,,NaturalWikiText
1996 : Undisputed Attitude,3,attitude,Noun,singular,attitude,,NaturalWikiText
"Swain , Daniel F",2,daniel,Noun,singular,daniel,,NaturalWikiText
Shot from 2 to 10 millimetres ( 0 @,0,shot,Noun,singular,shot,,NaturalWikiText
= = = Portland Youth Philharmonic = = =,3,portland,Noun,singular,portland,,NaturalWikiText
Johntá Austin – songwriter,3,songwriter,Noun,singular,songwriter,,NaturalWikiText
The townships existed before the parish,5,parish,Verb,singular,parish,,NaturalWikiText
""" What Goes Around",2,go,Verb,base,goes,,NaturalWikiText
@ 3 mi ) to the left,6,leave,Verb,past,left,,NaturalWikiText
'you hit me ',1,hit,Verb,base,hit,,NaturalWikiText
= = Circular momentum hodographs = =,2,circular,Noun,singular,circular,,NaturalWikiText
= Livin ' the Dream =,4,dream,Noun,positive,dream,,NaturalWikiText
@ 6 cm ) stones,4,stone,Noun,base,stones,,NaturalWikiText
"A snowbank mushroom , P",2,mushroom,Noun,positive,mushroom,,NaturalWikiText
= Beat the Chefs =,1,beat,Noun,positive,beat,,NaturalWikiText
"wonder , fear , even sadness",4,even,Verb,singular,even,,NaturalWikiText
= = Copyright infringement suit = =,4,suit,Verb,base,suit,,NaturalWikiText
The average wettest month is June,1,average,Noun,positive,average,,NaturalWikiText
"Allen Newell , J",3,j,Noun,singular,j,,NaturalWikiText
= = = Effect on food prices = = =,6,price,Noun,base,prices,,NaturalWikiText
= = = = County line to Auburn = = = =,5,line,Noun,base,line,,NaturalWikiText
= = = Pre @-@ Christian religion = = =,3,pre,Noun,singular,pre,,NaturalWikiText
Evangelical Protestant – 53 %,1,protestant,Noun,positive,protestant,,NaturalWikiText
= = = Tarot Card Puzzle = = =,4,card,Noun,singular,card,,NaturalWikiText
2 Operational Conversion Unit,3,unit,Noun,positive,unit,,NaturalWikiText
= = = Burning of Norfolk = = =,3,burning,Noun,singular,burning,,NaturalWikiText
= Scientific jury selection =,2,jury,Noun,positive,jury,,NaturalWikiText
@ 3 mi ) away,4,away,Adjective,base,away,,NaturalWikiText
The Christian community were mostly Greek @-@ Melkite Catholics,5,greek,Noun,singular,greek,,NaturalWikiText
= Beware of the Dog ( Millennium ) =,4,dog,Noun,singular,dog,,NaturalWikiText
"After swiftly recovering from the sack of Rome , the Romans immediately resumed their expansion within Italy",12,resume,Verb,past,resumed,,NaturalWikiText
= = = From Nazi Germany to Reconstruction = = =,4,nazi,Noun,singular,nazi,,NaturalWikiText
The Fatherland 's tricolor symbol,4,symbol,Noun,base,symbol,,NaturalWikiText
Moonlight Drive ( Corkscrew neckbreaker ),1,drive,Noun,base,drive,,NaturalWikiText
Béla I the Champion or the Wisent ( Hungarian : I,3,champion,Noun,base,champion,,NaturalWikiText
Arbroath 's prospects originally revolved around the harbour,7,harbour,Noun,singular,harbour,,NaturalWikiText
The Haunted Mask was authored by R,2,mask,Noun,singular,mask,,NaturalWikiText
", fly until 11 a",1,fly,Verb,base,fly,,NaturalWikiText
The aim of the U,1,aim,Noun,base,aim,,NaturalWikiText
= = Emergence of animals = =,4,animal,Noun,plural,animals,,NaturalWikiText
americanum is known only from North America,2,known,Noun,positive,known,,NaturalWikiText
= = = Academic activities 1894 – 1918 = = =,3,academic,Noun,positive,academic,,NaturalWikiText
We were closer than brothers,2,closer,Noun,singular,closer,,NaturalWikiText
"Yinlong - ( Xinjiang , western China )",5,western,Noun,singular,western,,NaturalWikiText
Gliese 876 emits X @-@ rays,5,ray,Noun,base,rays,,NaturalWikiText
Levi Savage Jr,1,savage,Noun,positive,savage,,NaturalWikiText
"Pather Panchali is pure cinema """,3,pure,Verb,singular,pure,,NaturalWikiText
According to Andy Battaglia from The A,2,andy,Noun,singular,andy,,NaturalWikiText
Amateur tournaments since 2007,0,amateur,Noun,singular,amateur,,NaturalWikiText
Practical Protein Crystallography,0,practical,Noun,singular,practical,,NaturalWikiText
= = AI 1993 – present = =,5,present,Noun,positive,present,,NaturalWikiText
"@ 6 million players globally , of those , 2 @",3,player,Noun,plural,players,,NaturalWikiText
Forestry plantations of pine ( Pinus spp,3,pine,Noun,base,pine,,NaturalWikiText
Kitti 's hog @-@ nosed bat is about 29 to 33 mm ( 1 @,5,bat,Noun,singular,bat,,NaturalWikiText
The party then quickly escapes from the melting cube to rejoin their families,1,party,Noun,positive,party,,NaturalWikiText
Power / mass : 170 W / kg ( 0 @,2,mass,Noun,positive,mass,,NaturalWikiText
"On 29 November , the 2 / 32nd was relieved by the 2 / 43rd",9,relieve,Verb,past,relieved,,NaturalWikiText
@ 4 hours of repair,4,repair,Verb,base,repair,,NaturalWikiText
"The winning jockey was James Rowe , Sr",1,winning,Noun,singular,winning,,NaturalWikiText
= O 'er the Gloomy Hills of Darkness =,5,hill,Noun,base,hills,,NaturalWikiText
Moral Instructions from the Scriptures,0,moral,Noun,base,moral,,NaturalWikiText
government to attempt to mediate the conflicts,2,attempt,Verb,base,attempt,,NaturalWikiText
The preservation of the existing diversity was the most important goal,10,goal,Noun,base,goal,,NaturalWikiText
Punk II on October 16,0,punk,Adjective,positive,punk,,NaturalWikiText
@ 8 Earth masses,3,mass,Noun,base,masses,,NaturalWikiText
"I was , unfortunately , right",5,right,Verb,positive,right,,NaturalWikiText
@ 0 km ) from the British line,7,line,Noun,singular,line,,NaturalWikiText
"Anyway , the builder of the platform [ viz",6,platform,Verb,base,platform,,NaturalWikiText
Keeper of the Keys ( 1932 ),3,key,Noun,base,keys,,NaturalWikiText
He also sponsored legislation to organize the Indian Territory under a territorial government,11,territorial,Noun,positive,territorial,,NaturalWikiText
= = = = 2015 Kentucky Derby = = = =,6,derby,Noun,singular,derby,,NaturalWikiText
horni is currently a junior homonym for Kirby 's C,4,junior,Noun,singular,junior,,NaturalWikiText
Returning to the U,0,return,Verb,base,returning,,NaturalWikiText
1 on 55 of those lists,5,list,Noun,base,lists,,NaturalWikiText
= O 'Brien @-@ class destroyer =,4,class,Noun,singular,class,,NaturalWikiText
"Johnson on February 15 , 1964",0,johnson,Noun,singular,johnson,,NaturalWikiText
= = Breakup of the Essex gang = =,6,gang,Verb,base,gang,,NaturalWikiText
@ 3 ft ) high,4,high,Noun,positive,high,,NaturalWikiText
= Interactions ( The Spectacular Spider @-@ Man ) =,7,man,Noun,positive,man,,NaturalWikiText
= = = 2011 – Demo version = = =,5,demo,Noun,base,demo,,NaturalWikiText
@ 0 nights of sub @-@ 0 ° F ( − 18 ° C ) lows can be expected,4,sub,Noun,base,sub,,NaturalWikiText
"@ 5 MW , enough for 25 @,@ 000 homes",9,home,Noun,plural,homes,,NaturalWikiText
Their duties were often financial,1,dutie,Noun,plural,duties,,NaturalWikiText
The origin of C,1,origin,Noun,singular,origin,,NaturalWikiText
"Greg Kot of the Chicago Tribune commended Lamar for giving "" gangsta tropes",9,giving,Noun,singular,giving,,NaturalWikiText
The convoy of U,1,convoy,Verb,base,convoy,,NaturalWikiText
Bert Gordon - Nominated Villain,3,nominate,Verb,past,nominated,,NaturalWikiText
"Both defendants were held on $ 20 @,@ 000 bail",3,hold,Verb,past,held,,NaturalWikiText
The legs were brown,1,leg,Noun,plural,legs,,NaturalWikiText
= = = Serial killings controversy = = =,3,serial,Noun,singular,serial,,NaturalWikiText
Inside the Third Reich,0,inside,Noun,positive,inside,,NaturalWikiText
Academic Robert E,0,academic,Noun,singular,academic,,NaturalWikiText
= = Reception by historians = =,4,historian,Noun,plural,historians,,NaturalWikiText
Buitenzorg : Lie Kim Hok,2,lie,Verb,base,lie,,NaturalWikiText
"Nixon announced the ground invasion of Cambodia to the American public on April 30 , 1970",1,announce,Verb,past,announced,,NaturalWikiText
Tides up to 6 ft ( 1 @,1,up,Noun,positive,up,,NaturalWikiText
Towns were listed separately,2,list,Noun,past,listed,,NaturalWikiText
= = Intersections from south to north = =,2,intersection,Noun,plural,intersections,,NaturalWikiText
