Sentence,Target Index,Lemma,Category,Inflection Label,Word Form,Dimension,Source Type
I travelled yesterday.,1,travel,Verb,past,travelled,Tense/Aspect,Template
I fitted yesterday.,1,fit,Verb,past,fitted,Tense/Aspect,Template
I saw yesterday.,1,see,Verb,past,saw,Tense/Aspect,Template
I sang yesterday.,1,sing,Verb,past,sang,Tense/Aspect,Template
I published yesterday.,1,publish,Verb,past,published,Tense/Aspect,Template
I translated yesterday.,1,translate,Verb,past,translated,Tense/Aspect,Template
I studied yesterday.,1,study,Verb,past,studied,Tense/Aspect,Template
I stationed yesterday.,1,station,Verb,past,stationed,Tense/Aspect,Template
I impressed yesterday.,1,impress,Verb,past,impressed,Tense/Aspect,Template
I held yesterday.,1,hold,Verb,past,held,Tense/Aspect,Template
I passed yesterday.,1,pass,Verb,past,passed,Tense/Aspect,Template
I discussed yesterday.,1,discuss,Verb,past,discussed,Tense/Aspect,Template
I erected yesterday.,1,erect,Verb,past,erected,Tense/Aspect,Template
I spoke yesterday.,1,speak,Verb,past,spoke,Tense/Aspect,Template
I emerged yesterday.,1,emerge,Verb,past,emerged,Tense/Aspect,Template
I halted yesterday.,1,halt,Verb,past,halted,Tense/Aspect,Template
I asked yesterday.,1,aske,Verb,past,asked,Tense/Aspect,Template
I learned yesterday.,1,learn,Verb,past,learned,Tense/Aspect,Template
I generated yesterday.,1,generate,Verb,past,generated,Tense/Aspect,Template
I shut yesterday.,1,shut,Verb,past,shut,Tense/Aspect,Template
I created yesterday.,1,create,Verb,past,created,Tense/Aspect,Template
I declared yesterday.,1,declare,Verb,past,declared,Tense/Aspect,Template
I engaged yesterday.,1,engage,Verb,past,engaged,Tense/Aspect,Template
I seized yesterday.,1,seize,Verb,past,seized,Tense/Aspect,Template
I acknowledged yesterday.,1,acknowledge,Verb,past,acknowledged,Tense/Aspect,Template
I tried yesterday.,1,try,Verb,past,tried,Tense/Aspect,Template
I continued yesterday.,1,continue,Verb,past,continued,Tense/Aspect,Template
I demolished yesterday.,1,demolish,Verb,past,demolished,Tense/Aspect,Template
I lasted yesterday.,1,last,Verb,past,lasted,Tense/Aspect,Template
I gave yesterday.,1,give,Verb,past,gave,Tense/Aspect,Template
I wished yesterday.,1,wishe,Verb,past,wished,Tense/Aspect,Template
I pursued yesterday.,1,pursue,Verb,past,pursued,Tense/Aspect,Template
I revived yesterday.,1,revive,Verb,past,revived,Tense/Aspect,Template
I sat yesterday.,1,sit,Verb,past,sat,Tense/Aspect,Template
I became yesterday.,1,become,Verb,past,became,Tense/Aspect,Template
I advanced yesterday.,1,advance,Verb,past,advanced,Tense/Aspect,Template
I broke yesterday.,1,break,Verb,past,broke,Tense/Aspect,Template
I qualified yesterday.,1,qualify,Verb,past,qualified,Tense/Aspect,Template
I composed yesterday.,1,compose,Verb,past,composed,Tense/Aspect,Template
I did yesterday.,1,do,Verb,past,did,Tense/Aspect,Template
I sold yesterday.,1,sell,Verb,past,sold,Tense/Aspect,Template
I affected yesterday.,1,affect,Verb,past,affected,Tense/Aspect,Template
I operated yesterday.,1,operate,Verb,past,operated,Tense/Aspect,Template
I produced yesterday.,1,produce,Verb,past,produced,Tense/Aspect,Template
I transferred yesterday.,1,transfer,Verb,past,transferred,Tense/Aspect,Template
I closed yesterday.,1,close,Verb,past,closed,Tense/Aspect,Template
I examined yesterday.,1,examin,Verb,past,examined,Tense/Aspect,Template
I requested yesterday.,1,request,Verb,past,requested,Tense/Aspect,Template
I realized yesterday.,1,realize,Verb,past,realized,Tense/Aspect,Template
I installed yesterday.,1,instal,Verb,past,installed,Tense/Aspect,Template
I lay yesterday.,1,lie,Verb,past,lay,Tense/Aspect,Template
I intensified yesterday.,1,intensify,Verb,past,intensified,Tense/Aspect,Template
I imposed yesterday.,1,impose,Verb,past,imposed,Tense/Aspect,Template
I cut yesterday.,1,cut,Verb,past,cut,Tense/Aspect,Template
I made yesterday.,1,make,Verb,past,made,Tense/Aspect,Template
I decided yesterday.,1,decide,Verb,past,decided,Tense/Aspect,Template
I backed yesterday.,1,back,Verb,past,backed,Tense/Aspect,Template
I failed yesterday.,1,faile,Verb,past,failed,Tense/Aspect,Template
I invaded yesterday.,1,invade,Verb,past,invaded,Tense/Aspect,Template
I concentrated yesterday.,1,concentrate,Verb,past,concentrated,Tense/Aspect,Template
I walked yesterday.,1,walk,Verb,past,walked,Tense/Aspect,Template
I pronounced yesterday.,1,pronounce,Verb,past,pronounced,Tense/Aspect,Template
I transformed yesterday.,1,transform,Verb,past,transformed,Tense/Aspect,Template
I moved yesterday.,1,move,Verb,past,moved,Tense/Aspect,Template
I told yesterday.,1,tell,Verb,past,told,Tense/Aspect,Template
I agreed yesterday.,1,agree,Verb,past,agreed,Tense/Aspect,Template
I turned yesterday.,1,turn,Verb,past,turned,Tense/Aspect,Template
I exhibited yesterday.,1,exhibit,Verb,past,exhibited,Tense/Aspect,Template
I organised yesterday.,1,organise,Verb,past,organised,Tense/Aspect,Template
I preferred yesterday.,1,prefer,Verb,past,preferred,Tense/Aspect,Template
I changed yesterday.,1,change,Verb,past,changed,Tense/Aspect,Template
I eliminated yesterday.,1,eliminate,Verb,past,eliminated,Tense/Aspect,Template
I enrolled yesterday.,1,enrol,Verb,past,enrolled,Tense/Aspect,Template
I began yesterday.,1,begin,Verb,past,began,Tense/Aspect,Template
I contributed yesterday.,1,contribute,Verb,past,contributed,Tense/Aspect,Template
I returned yesterday.,1,return,Verb,past,returned,Tense/Aspect,Template
I rendered yesterday.,1,render,Verb,past,rendered,Tense/Aspect,Template
I dismissed yesterday.,1,dismiss,Verb,past,dismissed,Tense/Aspect,Template
I married yesterday.,1,marry,Verb,past,married,Tense/Aspect,Template
I retrieved yesterday.,1,retrieve,Verb,past,retrieved,Tense/Aspect,Template
I varied yesterday.,1,vary,Verb,past,varied,Tense/Aspect,Template
I assigned yesterday.,1,assign,Verb,past,assigned,Tense/Aspect,Template
I paid yesterday.,1,pay,Verb,past,paid,Tense/Aspect,Template
I bound yesterday.,1,bind,Verb,past,bound,Tense/Aspect,Template
I completed yesterday.,1,complete,Verb,past,completed,Tense/Aspect,Template
I populated yesterday.,1,populate,Verb,past,populated,Tense/Aspect,Template
I let yesterday.,1,let,Verb,past,let,Tense/Aspect,Template
I approved yesterday.,1,approve,Verb,past,approved,Tense/Aspect,Template
I reached yesterday.,1,reach,Verb,past,reached,Tense/Aspect,Template
I sustained yesterday.,1,sustain,Verb,past,sustained,Tense/Aspect,Template
I collapsed yesterday.,1,collapse,Verb,past,collapsed,Tense/Aspect,Template
I animated yesterday.,1,animate,Verb,past,animated,Tense/Aspect,Template
I ignored yesterday.,1,ignore,Verb,past,ignored,Tense/Aspect,Template
I modified yesterday.,1,modify,Verb,past,modified,Tense/Aspect,Template
I evacuated yesterday.,1,evacuate,Verb,past,evacuated,Tense/Aspect,Template
I split yesterday.,1,split,Verb,past,split,Tense/Aspect,Template
I got yesterday.,1,get,Verb,past,got,Tense/Aspect,Template
I included yesterday.,1,include,Verb,past,included,Tense/Aspect,Template
I admitted yesterday.,1,admit,Verb,past,admitted,Tense/Aspect,Template
I spread yesterday.,1,spread,Verb,past,spread,Tense/Aspect,Template
I proposed yesterday.,1,propose,Verb,past,proposed,Tense/Aspect,Template
I spent yesterday.,1,spend,Verb,past,spent,Tense/Aspect,Template
I occurred yesterday.,1,occur,Verb,past,occurred,Tense/Aspect,Template
I discontinued yesterday.,1,discontinue,Verb,past,discontinued,Tense/Aspect,Template
I heard yesterday.,1,hea',Verb,past,heard,Tense/Aspect,Template
I replied yesterday.,1,reply,Verb,past,replied,Tense/Aspect,Template
I announced yesterday.,1,announce,Verb,past,announced,Tense/Aspect,Template
I accompanied yesterday.,1,accompany,Verb,past,accompanied,Tense/Aspect,Template
I relieved yesterday.,1,relieve,Verb,past,relieved,Tense/Aspect,Template
I originated yesterday.,1,originate,Verb,past,originated,Tense/Aspect,Template
I thought yesterday.,1,thinke,Verb,past,thought,Tense/Aspect,Template
I made yesterday.,1,myek,Verb,past,made,Tense/Aspect,Template
I dissolved yesterday.,1,dissolve,Verb,past,dissolved,Tense/Aspect,Template
I mixed yesterday.,1,mix,Verb,past,mixed,Tense/Aspect,Template
I kept yesterday.,1,keep,Verb,past,kept,Tense/Aspect,Template
I drew yesterday.,1,draw,Verb,past,drew,Tense/Aspect,Template
I paved yesterday.,1,pave,Verb,past,paved,Tense/Aspect,Template
I united yesterday.,1,unite,Verb,past,united,Tense/Aspect,Template
I reported yesterday.,1,report,Verb,past,reported,Tense/Aspect,Template
I argued yesterday.,1,argue,Verb,past,argued,Tense/Aspect,Template
I banned yesterday.,1,ban,Verb,past,banned,Tense/Aspect,Template
I rebuilt yesterday.,1,rebuild,Verb,past,rebuilt,Tense/Aspect,Template
I lifted yesterday.,1,lift,Verb,past,lifted,Tense/Aspect,Template
I compiled yesterday.,1,compile,Verb,past,compiled,Tense/Aspect,Template
I showed yesterday.,1,show,Verb,past,showed,Tense/Aspect,Template
I fled yesterday.,1,flee,Verb,past,fled,Tense/Aspect,Template
I resolved yesterday.,1,resolve,Verb,past,resolved,Tense/Aspect,Template
I left yesterday.,1,leave,Verb,past,left,Tense/Aspect,Template
I conceived yesterday.,1,conceive,Verb,past,conceived,Tense/Aspect,Template
I dissipated yesterday.,1,dissipate,Verb,past,dissipated,Tense/Aspect,Template
I criticised yesterday.,1,criticise,Verb,past,criticised,Tense/Aspect,Template
I speculated yesterday.,1,speculate,Verb,past,speculated,Tense/Aspect,Template
I decreased yesterday.,1,decrease,Verb,past,decreased,Tense/Aspect,Template
I entered yesterday.,1,enter,Verb,past,entered,Tense/Aspect,Template
I met yesterday.,1,meet,Verb,past,met,Tense/Aspect,Template
I recovered yesterday.,1,recover,Verb,past,recovered,Tense/Aspect,Template
I retired yesterday.,1,retire,Verb,past,retired,Tense/Aspect,Template
I filled yesterday.,1,fill,Verb,past,filled,Tense/Aspect,Template
I carved yesterday.,1,carve,Verb,past,carved,Tense/Aspect,Template
I thought yesterday.,1,thinck,Verb,past,thought,Tense/Aspect,Template
I compared yesterday.,1,compare,Verb,past,compared,Tense/Aspect,Template
I grew yesterday.,1,grow,Verb,past,grew,Tense/Aspect,Template
I achieved yesterday.,1,achieve,Verb,past,achieved,Tense/Aspect,Template
I assembled yesterday.,1,assemble,Verb,past,assembled,Tense/Aspect,Template
I anticipated yesterday.,1,anticipate,Verb,past,anticipated,Tense/Aspect,Template
I missed yesterday.,1,miss,Verb,past,missed,Tense/Aspect,Template
I combined yesterday.,1,combine,Verb,past,combined,Tense/Aspect,Template
I held yesterday.,1,hould,Verb,past,held,Tense/Aspect,Template
I looked yesterday.,1,look,Verb,past,looked,Tense/Aspect,Template
I charted yesterday.,1,chart,Verb,past,charted,Tense/Aspect,Template
I added yesterday.,1,adde,Verb,past,added,Tense/Aspect,Template
I liked yesterday.,1,like,Verb,past,liked,Tense/Aspect,Template
I arranged yesterday.,1,arrange,Verb,past,arranged,Tense/Aspect,Template
I played yesterday.,1,playe,Verb,past,played,Tense/Aspect,Template
I settled yesterday.,1,settle,Verb,past,settled,Tense/Aspect,Template
I educated yesterday.,1,educate,Verb,past,educated,Tense/Aspect,Template
I inspired yesterday.,1,inspire,Verb,past,inspired,Tense/Aspect,Template
I isolated yesterday.,1,isolate,Verb,past,isolated,Tense/Aspect,Template
I sacred yesterday.,1,sacre,Verb,past,sacred,Tense/Aspect,Template
I hit yesterday.,1,hit,Verb,past,hit,Tense/Aspect,Template
I provided yesterday.,1,provide,Verb,past,provided,Tense/Aspect,Template
I entitled yesterday.,1,entitle,Verb,past,entitled,Tense/Aspect,Template
I merged yesterday.,1,merge,Verb,past,merged,Tense/Aspect,Template
I sought yesterday.,1,seek,Verb,past,sought,Tense/Aspect,Template
I wore yesterday.,1,wear,Verb,past,wore,Tense/Aspect,Template
I encountered yesterday.,1,encounter,Verb,past,encountered,Tense/Aspect,Template
I denied yesterday.,1,deny,Verb,past,denied,Tense/Aspect,Template
I hurt yesterday.,1,hurt,Verb,past,hurt,Tense/Aspect,Template
I sank yesterday.,1,sink,Verb,past,sank,Tense/Aspect,Template
I committed yesterday.,1,commit,Verb,past,committed,Tense/Aspect,Template
I removed yesterday.,1,remove,Verb,past,removed,Tense/Aspect,Template
I alleged yesterday.,1,allege,Verb,past,alleged,Tense/Aspect,Template
I built yesterday.,1,build,Verb,past,built,Tense/Aspect,Template
I assumed yesterday.,1,assume,Verb,past,assumed,Tense/Aspect,Template
I did yesterday.,1,de,Verb,past,did,Tense/Aspect,Template
I commenced yesterday.,1,commence,Verb,past,commenced,Tense/Aspect,Template
I designated yesterday.,1,designate,Verb,past,designated,Tense/Aspect,Template
I had yesterday.,1,have,Verb,past,had,Tense/Aspect,Template
I seemed yesterday.,1,seeme,Verb,past,seemed,Tense/Aspect,Template
I developed yesterday.,1,develop,Verb,past,developed,Tense/Aspect,Template
I revised yesterday.,1,revise,Verb,past,revised,Tense/Aspect,Template
I set yesterday.,1,set,Verb,past,set,Tense/Aspect,Template
I threw yesterday.,1,throw,Verb,past,threw,Tense/Aspect,Template
I occupied yesterday.,1,occupy,Verb,past,occupied,Tense/Aspect,Template
I altered yesterday.,1,alter,Verb,past,altered,Tense/Aspect,Template
I responded yesterday.,1,respond,Verb,past,responded,Tense/Aspect,Template
I classified yesterday.,1,classify,Verb,past,classified,Tense/Aspect,Template
I treated yesterday.,1,treat,Verb,past,treated,Tense/Aspect,Template
I recognized yesterday.,1,recognize,Verb,past,recognized,Tense/Aspect,Template
I suited yesterday.,1,suit,Verb,past,suited,Tense/Aspect,Template
I curved yesterday.,1,curve,Verb,past,curved,Tense/Aspect,Template
I predicted yesterday.,1,predict,Verb,past,predicted,Tense/Aspect,Template
I criticized yesterday.,1,criticize,Verb,past,criticized,Tense/Aspect,Template
I destroyed yesterday.,1,destroy,Verb,past,destroyed,Tense/Aspect,Template
I knew yesterday.,1,know,Verb,past,knew,Tense/Aspect,Template
I separated yesterday.,1,separate,Verb,past,separated,Tense/Aspect,Template
I referred yesterday.,1,refer,Verb,past,referred,Tense/Aspect,Template
I dedicated yesterday.,1,dedicate,Verb,past,dedicated,Tense/Aspect,Template
I restored yesterday.,1,restore,Verb,past,restored,Tense/Aspect,Template
I dominated yesterday.,1,dominate,Verb,past,dominated,Tense/Aspect,Template
I characterized yesterday.,1,characterize,Verb,past,characterized,Tense/Aspect,Template
I disabled yesterday.,1,disable,Verb,past,disabled,Tense/Aspect,Template
I added yesterday.,1,add,Verb,past,added,Tense/Aspect,Template
I granted yesterday.,1,grant,Verb,past,granted,Tense/Aspect,Template
I expressed yesterday.,1,expresse,Verb,past,expressed,Tense/Aspect,Template
I opened yesterday.,1,open,Verb,past,opened,Tense/Aspect,Template
I cited yesterday.,1,cite,Verb,past,cited,Tense/Aspect,Template
I participated yesterday.,1,participate,Verb,past,participated,Tense/Aspect,Template
I thought yesterday.,1,think,Verb,past,thought,Tense/Aspect,Template
I repaired yesterday.,1,repair,Verb,past,repaired,Tense/Aspect,Template
I meant yesterday.,1,mean,Verb,past,meant,Tense/Aspect,Template
I deemed yesterday.,1,deeme,Verb,past,deemed,Tense/Aspect,Template
I allied yesterday.,1,ally,Verb,past,allied,Tense/Aspect,Template
I cancelled yesterday.,1,cancel,Verb,past,cancelled,Tense/Aspect,Template
I competed yesterday.,1,compete,Verb,past,competed,Tense/Aspect,Template
I arose yesterday.,1,arise,Verb,past,arose,Tense/Aspect,Template
I dubbed yesterday.,1,dub,Verb,past,dubbed,Tense/Aspect,Template
I carried yesterday.,1,carry,Verb,past,carried,Tense/Aspect,Template
I concluded yesterday.,1,conclude,Verb,past,concluded,Tense/Aspect,Template
I said yesterday.,1,say,Verb,past,said,Tense/Aspect,Template
I returned yesterday.,1,returne,Verb,past,returned,Tense/Aspect,Template
I examined yesterday.,1,examine,Verb,past,examined,Tense/Aspect,Template
I stood yesterday.,1,stand,Verb,past,stood,Tense/Aspect,Template
I housed yesterday.,1,house,Verb,past,housed,Tense/Aspect,Template
I fought yesterday.,1,fight,Verb,past,fought,Tense/Aspect,Template
I supposed yesterday.,1,suppose,Verb,past,supposed,Tense/Aspect,Template
I incorporated yesterday.,1,incorporate,Verb,past,incorporated,Tense/Aspect,Template
I heard yesterday.,1,hear,Verb,past,heard,Tense/Aspect,Template
I visited yesterday.,1,visit,Verb,past,visited,Tense/Aspect,Template
I calculated yesterday.,1,calculate,Verb,past,calculated,Tense/Aspect,Template
I elevated yesterday.,1,elevate,Verb,past,elevated,Tense/Aspect,Template
I situated yesterday.,1,situate,Verb,past,situated,Tense/Aspect,Template
I consisted yesterday.,1,consist,Verb,past,consisted,Tense/Aspect,Template
I escaped yesterday.,1,escape,Verb,past,escaped,Tense/Aspect,Template
I absorbed yesterday.,1,absorb,Verb,past,absorbed,Tense/Aspect,Template
I prepared yesterday.,1,prepare,Verb,past,prepared,Tense/Aspect,Template
I attempted yesterday.,1,attempt,Verb,past,attempted,Tense/Aspect,Template
I assessed yesterday.,1,assess,Verb,past,assessed,Tense/Aspect,Template
I felt yesterday.,1,feel,Verb,past,felt,Tense/Aspect,Template
I raised yesterday.,1,raise,Verb,past,raised,Tense/Aspect,Template
