Sentence,Target Index,Lemma,Category,Inflection Label,Word Form,Source Type
"However , Mahadev dies before the consummation of the marriage",3,die,Verb,plural,dies,NaturalWikiText
Rennie dies from the botched abortion,1,die,Verb,plural,dies,NaturalWikiText
"After the contest , Barclay dies of "" beef poisoning """,5,die,Verb,plural,dies,NaturalWikiText
The Brown family belongs to the Apostolic United Brethren ( AUB,7,unite,Verb,past,united,NaturalWikiText
United Arab Emirates,0,unite,Verb,past,united,NaturalWikiText
British United Airways,1,unite,Verb,past,united,NaturalWikiText
= = = = United Arab Emirates = = = =,4,unite,Verb,past,united,NaturalWikiText
Hartlepool United F,1,unite,Verb,past,united,NaturalWikiText
"Giles flat of a "" Mrs",1,flat,Verb,base,flat,NaturalWikiText
= = = 1963 burglary of Irving 's flat = = =,8,flat,Verb,base,flat,NaturalWikiText
"Initially , hierarchy of membership was relatively flat",7,flat,Verb,base,flat,NaturalWikiText
= = = Flat Earth wager = = =,3,flat,Verb,base,flat,NaturalWikiText
= = = Flat carbon steel = = =,3,flat,Verb,base,flat,NaturalWikiText
"Giles flat of a "" Mrs",1,flat,Verb,positive,flat,NaturalWikiText
= = = 1963 burglary of Irving 's flat = = =,8,flat,Verb,positive,flat,NaturalWikiText
"Initially , hierarchy of membership was relatively flat",7,flat,Verb,positive,flat,NaturalWikiText
= = = Flat Earth wager = = =,3,flat,Verb,positive,flat,NaturalWikiText
= = = Flat carbon steel = = =,3,flat,Verb,positive,flat,NaturalWikiText
"Giles flat of a "" Mrs",1,flat,Verb,singular,flat,NaturalWikiText
= = = 1963 burglary of Irving 's flat = = =,8,flat,Verb,singular,flat,NaturalWikiText
"Initially , hierarchy of membership was relatively flat",7,flat,Verb,singular,flat,NaturalWikiText
= = = Flat Earth wager = = =,3,flat,Verb,singular,flat,NaturalWikiText
= = = Flat carbon steel = = =,3,flat,Verb,singular,flat,NaturalWikiText
= = = Results of the ballots = = =,3,result,Verb,base,results,NaturalWikiText
The results of the referendum were indecisive,1,result,Verb,base,results,NaturalWikiText
= = Results of protests = =,2,result,Verb,base,results,NaturalWikiText
The results were much the same,1,result,Verb,base,results,NaturalWikiText
Breckinridge 's reforms manifested tangible results,5,result,Verb,base,results,NaturalWikiText
= = = Results of the ballots = = =,3,result,Verb,plural,results,NaturalWikiText
The results of the referendum were indecisive,1,result,Verb,plural,results,NaturalWikiText
= = Results of protests = =,2,result,Verb,plural,results,NaturalWikiText
The results were much the same,1,result,Verb,plural,results,NaturalWikiText
Breckinridge 's reforms manifested tangible results,5,result,Verb,plural,results,NaturalWikiText
Also buried is Lt,1,bury,Verb,past,buried,NaturalWikiText
The infant was then buried secretly,4,bury,Verb,past,buried,NaturalWikiText
""" Whisky buried by Ernest Shackleton expedition recreated """,2,bury,Verb,past,buried,NaturalWikiText
These were typically buried or dumped into nearby waterways,3,bury,Verb,past,buried,NaturalWikiText
Richard ( baptised 9 February 1618 – buried 6 February 1639 ),7,bury,Verb,past,buried,NaturalWikiText
The bulk of the division was withdrawn on 29 April 1971,6,withdraw,Verb,past,withdrawn,NaturalWikiText
The warrant against Aurobindo was withdrawn,5,withdraw,Verb,past,withdrawn,NaturalWikiText
"Polarfront was withdrawn from operation on January 1 , 2010",2,withdraw,Verb,past,withdrawn,NaturalWikiText
The 9th Division was subsequently withdrawn to Gaza,5,withdraw,Verb,past,withdrawn,NaturalWikiText
"Needing a rest , the squadron was withdrawn to Yorkshire",7,withdraw,Verb,past,withdrawn,NaturalWikiText
"Critical reception to "" Hollywood A",0,critical,Noun,singular,critical,NaturalWikiText
= = = Critical ionization velocity = = =,3,critical,Noun,singular,critical,NaturalWikiText
= = = Posthumous critical reputation = = =,4,critical,Noun,singular,critical,NaturalWikiText
"Stefansson , too , was privately critical of Bartlett 's conduct",6,critical,Noun,singular,critical,NaturalWikiText
The timing of mitigation responses is critical,6,critical,Noun,singular,critical,NaturalWikiText
"Critical reception to "" Hollywood A",0,critical,Noun,positive,critical,NaturalWikiText
= = = Critical ionization velocity = = =,3,critical,Noun,positive,critical,NaturalWikiText
= = = Posthumous critical reputation = = =,4,critical,Noun,positive,critical,NaturalWikiText
"Stefansson , too , was privately critical of Bartlett 's conduct",6,critical,Noun,positive,critical,NaturalWikiText
The timing of mitigation responses is critical,6,critical,Noun,positive,critical,NaturalWikiText
"The broadcast aired February 3 , 2008",1,broadcast,Noun,base,broadcast,NaturalWikiText
The broadcast of the film attracted 3 @,1,broadcast,Noun,base,broadcast,NaturalWikiText
The film was also broadcast by A & E,4,broadcast,Noun,base,broadcast,NaturalWikiText
""" A Rugrats Chanukah "" was originally broadcast on December 4 , 1996 on Nickelodeon",7,broadcast,Noun,base,broadcast,NaturalWikiText
""" The Broadcast "" – 1 : 30",2,broadcast,Noun,base,broadcast,NaturalWikiText
"The broadcast aired February 3 , 2008",1,broadcast,Noun,past,broadcast,NaturalWikiText
The broadcast of the film attracted 3 @,1,broadcast,Noun,past,broadcast,NaturalWikiText
The film was also broadcast by A & E,4,broadcast,Noun,past,broadcast,NaturalWikiText
""" A Rugrats Chanukah "" was originally broadcast on December 4 , 1996 on Nickelodeon",7,broadcast,Noun,past,broadcast,NaturalWikiText
""" The Broadcast "" – 1 : 30",2,broadcast,Noun,past,broadcast,NaturalWikiText
"The broadcast aired February 3 , 2008",1,broadcast,Noun,singular,broadcast,NaturalWikiText
The broadcast of the film attracted 3 @,1,broadcast,Noun,singular,broadcast,NaturalWikiText
The film was also broadcast by A & E,4,broadcast,Noun,singular,broadcast,NaturalWikiText
""" A Rugrats Chanukah "" was originally broadcast on December 4 , 1996 on Nickelodeon",7,broadcast,Noun,singular,broadcast,NaturalWikiText
""" The Broadcast "" – 1 : 30",2,broadcast,Noun,singular,broadcast,NaturalWikiText
"The broadcast aired February 3 , 2008",1,broadcast,Noun,positive,broadcast,NaturalWikiText
The broadcast of the film attracted 3 @,1,broadcast,Noun,positive,broadcast,NaturalWikiText
The film was also broadcast by A & E,4,broadcast,Noun,positive,broadcast,NaturalWikiText
""" A Rugrats Chanukah "" was originally broadcast on December 4 , 1996 on Nickelodeon",7,broadcast,Noun,positive,broadcast,NaturalWikiText
""" The Broadcast "" – 1 : 30",2,broadcast,Noun,positive,broadcast,NaturalWikiText
state of Pennsylvania,0,state,Noun,base,state,NaturalWikiText
state of Delaware,0,state,Noun,base,state,NaturalWikiText
state of Ohio,0,state,Noun,base,state,NaturalWikiText
9 Florida State,2,state,Noun,base,state,NaturalWikiText
"On November 8 , NC State traveled to Charlottesville , Virginia , to play the Virginia Cavaliers",5,state,Noun,base,state,NaturalWikiText
state of Pennsylvania,0,state,Noun,singular,state,NaturalWikiText
state of Delaware,0,state,Noun,singular,state,NaturalWikiText
state of Ohio,0,state,Noun,singular,state,NaturalWikiText
9 Florida State,2,state,Noun,singular,state,NaturalWikiText
"On November 8 , NC State traveled to Charlottesville , Virginia , to play the Virginia Cavaliers",5,state,Noun,singular,state,NaturalWikiText
state of Pennsylvania,0,state,Noun,positive,state,NaturalWikiText
state of Delaware,0,state,Noun,positive,state,NaturalWikiText
state of Ohio,0,state,Noun,positive,state,NaturalWikiText
9 Florida State,2,state,Noun,positive,state,NaturalWikiText
"On November 8 , NC State traveled to Charlottesville , Virginia , to play the Virginia Cavaliers",5,state,Noun,positive,state,NaturalWikiText
""" Stiff Upper Lip """,2,upper,Noun,singular,upper,NaturalWikiText
The upper hangar was 171 @,1,upper,Noun,singular,upper,NaturalWikiText
The upper hangar was 458 feet ( 139 @,1,upper,Noun,singular,upper,NaturalWikiText
Upper Tribunal ( 2011 ),0,upper,Noun,singular,upper,NaturalWikiText
The upper strake was 203 mm ( 8 @,1,upper,Noun,singular,upper,NaturalWikiText
""" Stiff Upper Lip """,2,upper,Noun,positive,upper,NaturalWikiText
The upper hangar was 171 @,1,upper,Noun,positive,upper,NaturalWikiText
The upper hangar was 458 feet ( 139 @,1,upper,Noun,positive,upper,NaturalWikiText
Upper Tribunal ( 2011 ),0,upper,Noun,positive,upper,NaturalWikiText
The upper strake was 203 mm ( 8 @,1,upper,Noun,positive,upper,NaturalWikiText
Mogadishu remained the capital of Italian Somaliland throughout the latter polity 's existence,1,remain,Noun,past,remained,NaturalWikiText
"However , Fowler 's fitness remained a concern",5,remain,Noun,past,remained,NaturalWikiText
NY 74 remained unchanged until c,2,remain,Noun,past,remained,NaturalWikiText
Melissenos remained loyal to Michael VII Doukas ( r,1,remain,Noun,past,remained,NaturalWikiText
"Some then abandoned the MR @-@ 26 @-@ 7 , labeling Castro a caudillo ( dictator ) , although the majority remained loyal",21,remain,Noun,past,remained,NaturalWikiText
[ Sega ] ' s poor U,5,poor,Adjective,positive,poor,NaturalWikiText
"= = = Poor weather , deicing , taxiing delays = = =",3,poor,Adjective,positive,poor,NaturalWikiText
The translations were of poor quality,4,poor,Adjective,positive,poor,NaturalWikiText
"( 1894 ) Poor Folk , by Lana Milman",3,poor,Adjective,positive,poor,NaturalWikiText
"( 1900 ) Poor Folk , by Thomas Seltzer",3,poor,Adjective,positive,poor,NaturalWikiText
= = = Maulbetsch makes All @-@ American = = =,4,make,Verb,base,makes,NaturalWikiText
Makes some mistakes because of overeagerness,0,make,Verb,base,makes,NaturalWikiText
The President makes decisions,2,make,Verb,base,makes,NaturalWikiText
"Woodstock , another character from Peanuts also makes a cameo appearance",7,make,Verb,base,makes,NaturalWikiText
Otto quickly makes a nuisance of himself,2,make,Verb,base,makes,NaturalWikiText
= = = Maulbetsch makes All @-@ American = = =,4,make,Verb,plural,makes,NaturalWikiText
Makes some mistakes because of overeagerness,0,make,Verb,plural,makes,NaturalWikiText
The President makes decisions,2,make,Verb,plural,makes,NaturalWikiText
"Woodstock , another character from Peanuts also makes a cameo appearance",7,make,Verb,plural,makes,NaturalWikiText
Otto quickly makes a nuisance of himself,2,make,Verb,plural,makes,NaturalWikiText
= Superman : Escape from Krypton =,3,escape,Verb,base,escape,NaturalWikiText
= = = Superman : The Escape ( 1997 — 2010 ) = = =,6,escape,Verb,base,escape,NaturalWikiText
= = Escape from slavery = =,2,escape,Verb,base,escape,NaturalWikiText
= = Diệm 's escape = =,4,escape,Verb,base,escape,NaturalWikiText
"= = = "" Escape from the Citadel "" = = =",4,escape,Verb,base,escape,NaturalWikiText
= Superman : Escape from Krypton =,3,escape,Verb,singular,escape,NaturalWikiText
= = = Superman : The Escape ( 1997 — 2010 ) = = =,6,escape,Verb,singular,escape,NaturalWikiText
= = Escape from slavery = =,2,escape,Verb,singular,escape,NaturalWikiText
= = Diệm 's escape = =,4,escape,Verb,singular,escape,NaturalWikiText
"= = = "" Escape from the Citadel "" = = =",4,escape,Verb,singular,escape,NaturalWikiText
The 90 ° vector is normally deployed for VTOL manoeuvring,6,deploy,Verb,past,deployed,NaturalWikiText
The SHARAD radar antennas were deployed on September 16,5,deploy,Verb,past,deployed,NaturalWikiText
Gruppe was deployed to the Mediterranean Theater,2,deploy,Verb,past,deployed,NaturalWikiText
Clinton deployed U,1,deploy,Verb,past,deployed,NaturalWikiText
268 Squadron RAF were deployed to RAF Penshurst from RAF Snailwell,4,deploy,Verb,past,deployed,NaturalWikiText
The script for the production was written by Lloyd F,6,write,Verb,past,written,NaturalWikiText
Often they were partly written by Harris,4,write,Verb,past,written,NaturalWikiText
""" Next to You , "" written by R",6,write,Verb,past,written,NaturalWikiText
Euler 's notation is then written,5,write,Verb,past,written,NaturalWikiText
The film 's novelization was written by Matthew Stover,5,write,Verb,past,written,NaturalWikiText
= = Obama citizenship lawsuit = =,4,lawsuit,Noun,singular,lawsuit,NaturalWikiText
The lawsuit demanded Rp,1,lawsuit,Noun,singular,lawsuit,NaturalWikiText
= = = Lawsuit from Magnavox = = =,3,lawsuit,Noun,singular,lawsuit,NaturalWikiText
= = = Kentucky Speedway lawsuit = = =,5,lawsuit,Noun,singular,lawsuit,NaturalWikiText
The lawsuit was a $ 5 @,1,lawsuit,Noun,singular,lawsuit,NaturalWikiText
of the Residence of the Bishops ; archpriest of the patriarchal Liberian Basilica,5,bishop,Noun,plural,bishops,NaturalWikiText
The prelature is under the Congregation for Bishops,7,bishop,Noun,plural,bishops,NaturalWikiText
8 Thurlow Terrace was the residence of the Albany Catholic bishops until 1957,10,bishop,Noun,plural,bishops,NaturalWikiText
"Ecclesiastical reservation excluded the territories of the imperial prelates ( bishops , archbishops , abbots or abbesses ) from cuius regio , eius religio",10,bishop,Noun,plural,bishops,NaturalWikiText
The investigations of these teachings were conducted by the Bishops of Paris,9,bishop,Noun,plural,bishops,NaturalWikiText
of the Residence of the Bishops ; archpriest of the patriarchal Liberian Basilica,5,bishop,Noun,base,bishops,NaturalWikiText
The prelature is under the Congregation for Bishops,7,bishop,Noun,base,bishops,NaturalWikiText
8 Thurlow Terrace was the residence of the Albany Catholic bishops until 1957,10,bishop,Noun,base,bishops,NaturalWikiText
"Ecclesiastical reservation excluded the territories of the imperial prelates ( bishops , archbishops , abbots or abbesses ) from cuius regio , eius religio",10,bishop,Noun,base,bishops,NaturalWikiText
The investigations of these teachings were conducted by the Bishops of Paris,9,bishop,Noun,base,bishops,NaturalWikiText
Her four 76 @,0,her,Noun,singular,her,NaturalWikiText
They were only important to her,5,her,Noun,singular,her,NaturalWikiText
"Nina Simone "" after these honors were bestowed upon her",9,her,Noun,singular,her,NaturalWikiText
Her metacentric height was 3 @,0,her,Noun,singular,her,NaturalWikiText
Her character also narrated the film,0,her,Noun,singular,her,NaturalWikiText
= Radius of maximum wind =,4,wind,Verb,base,wind,NaturalWikiText
", the wind , breeze , tempest etc",2,wind,Verb,base,wind,NaturalWikiText
The predominant wind direction is from the southwest,2,wind,Verb,base,wind,NaturalWikiText
The predominant wind direction is from the south @-@ west,2,wind,Verb,base,wind,NaturalWikiText
@ 3 km / h ) of wind,7,wind,Verb,base,wind,NaturalWikiText
= Radius of maximum wind =,4,wind,Verb,singular,wind,NaturalWikiText
", the wind , breeze , tempest etc",2,wind,Verb,singular,wind,NaturalWikiText
The predominant wind direction is from the southwest,2,wind,Verb,singular,wind,NaturalWikiText
The predominant wind direction is from the south @-@ west,2,wind,Verb,singular,wind,NaturalWikiText
@ 3 km / h ) of wind,7,wind,Verb,singular,wind,NaturalWikiText
The verse reads :,1,verse,Noun,base,verse,NaturalWikiText
Vishnu is the deity whose power propels Sushumna according to verse 4 @,10,verse,Noun,base,verse,NaturalWikiText
Shatapatha Brahmana ( Verse 3 @,3,verse,Noun,base,verse,NaturalWikiText
"= = = Is "" my Verse",6,verse,Noun,base,verse,NaturalWikiText
"Movement 6 is a chorale , verse four of Philipp Nicolai 's hymn "" Wie schön leuchtet der Morgenstern """,6,verse,Noun,base,verse,NaturalWikiText
The verse reads :,1,verse,Noun,singular,verse,NaturalWikiText
Vishnu is the deity whose power propels Sushumna according to verse 4 @,10,verse,Noun,singular,verse,NaturalWikiText
Shatapatha Brahmana ( Verse 3 @,3,verse,Noun,singular,verse,NaturalWikiText
"= = = Is "" my Verse",6,verse,Noun,singular,verse,NaturalWikiText
"Movement 6 is a chorale , verse four of Philipp Nicolai 's hymn "" Wie schön leuchtet der Morgenstern """,6,verse,Noun,singular,verse,NaturalWikiText
= = Fictional character biography = =,4,biography,Noun,base,biography,NaturalWikiText
= = Fictional character biography = =,4,biography,Noun,base,biography,NaturalWikiText
= = Fictional character biography = =,4,biography,Noun,base,biography,NaturalWikiText
Madame Curie : A Biography,4,biography,Noun,base,biography,NaturalWikiText
Madame Curie : A Biography,4,biography,Noun,base,biography,NaturalWikiText
= = Fictional character biography = =,4,biography,Noun,singular,biography,NaturalWikiText
= = Fictional character biography = =,4,biography,Noun,singular,biography,NaturalWikiText
= = Fictional character biography = =,4,biography,Noun,singular,biography,NaturalWikiText
Madame Curie : A Biography,4,biography,Noun,singular,biography,NaturalWikiText
Madame Curie : A Biography,4,biography,Noun,singular,biography,NaturalWikiText
Montpelier Lodge ( c,1,lodge,Noun,base,lodge,NaturalWikiText
= = = Singapore Buddhist Lodge = = =,5,lodge,Noun,base,lodge,NaturalWikiText
"217 , "" Falkland Lodge """,4,lodge,Noun,base,lodge,NaturalWikiText
= = = Lodge Leadership Development ( LLD ) = = =,3,lodge,Noun,base,lodge,NaturalWikiText
"President — Marion , Ohio : Lodge 889",6,lodge,Noun,base,lodge,NaturalWikiText
Montpelier Lodge ( c,1,lodge,Noun,singular,lodge,NaturalWikiText
= = = Singapore Buddhist Lodge = = =,5,lodge,Noun,singular,lodge,NaturalWikiText
"217 , "" Falkland Lodge """,4,lodge,Noun,singular,lodge,NaturalWikiText
= = = Lodge Leadership Development ( LLD ) = = =,3,lodge,Noun,singular,lodge,NaturalWikiText
"President — Marion , Ohio : Lodge 889",6,lodge,Noun,singular,lodge,NaturalWikiText
"FIFA FIFPro World XI : 2008 , 2009",3,xi,Noun,singular,xi,NaturalWikiText
FIFA FIFPro World XI : 2014,3,xi,Noun,singular,xi,NaturalWikiText
FIFA / FIFPro World XI : 2010,4,xi,Noun,singular,xi,NaturalWikiText
= = = v HDG Leveson @-@ Gower 's XI = = =,9,xi,Noun,singular,xi,NaturalWikiText
FIFPro World XI : 2007,2,xi,Noun,singular,xi,NaturalWikiText
= Metroid Prime 2 : Echoes =,2,prime,Noun,base,prime,NaturalWikiText
= = = Identification of the prime suspect = = =,6,prime,Noun,base,prime,NaturalWikiText
= = = Metroid Prime 2 : Echoes = = =,4,prime,Noun,base,prime,NaturalWikiText
= = = Metroid Prime 3 : Corruption = = =,4,prime,Noun,base,prime,NaturalWikiText
Q Prime Inc,1,prime,Noun,base,prime,NaturalWikiText
= Metroid Prime 2 : Echoes =,2,prime,Noun,singular,prime,NaturalWikiText
= = = Identification of the prime suspect = = =,6,prime,Noun,singular,prime,NaturalWikiText
= = = Metroid Prime 2 : Echoes = = =,4,prime,Noun,singular,prime,NaturalWikiText
= = = Metroid Prime 3 : Corruption = = =,4,prime,Noun,singular,prime,NaturalWikiText
Q Prime Inc,1,prime,Noun,singular,prime,NaturalWikiText
= Metroid Prime 2 : Echoes =,2,prime,Noun,positive,prime,NaturalWikiText
= = = Identification of the prime suspect = = =,6,prime,Noun,positive,prime,NaturalWikiText
= = = Metroid Prime 2 : Echoes = = =,4,prime,Noun,positive,prime,NaturalWikiText
= = = Metroid Prime 3 : Corruption = = =,4,prime,Noun,positive,prime,NaturalWikiText
Q Prime Inc,1,prime,Noun,positive,prime,NaturalWikiText
The introduction of the de Havilland DH,4,de,Verb,base,de,NaturalWikiText
"De Zayas , Alfred",0,de,Verb,base,de,NaturalWikiText
Columba de Dunbar ( c,1,de,Verb,base,de,NaturalWikiText
= Josce de Dinan =,2,de,Verb,base,de,NaturalWikiText
DE 261 runs 4 @,0,de,Verb,base,de,NaturalWikiText
= = = Discovery of the electron = = =,6,electron,Noun,singular,electron,NaturalWikiText
"2 ) , formed from the 1 @-@ electron reduction of dioxygen",8,electron,Noun,singular,electron,NaturalWikiText
The admission of the hypothesis of a finite radius of the electron is incompatible to the premises of the theory of relativity,11,electron,Noun,singular,electron,NaturalWikiText
@ 1 % ) deviation of the intrinsic magnetic moment of the electron from the Bohr magneton ( the anomalous magnetic moment ),12,electron,Noun,singular,electron,NaturalWikiText
"For the 51 GeV electron above , the wavelength is about 2 @",4,electron,Noun,singular,electron,NaturalWikiText
WWE Cruiserweight Championship ( 3 times ),5,time,Noun,base,times,NaturalWikiText
According to the New York Times :,5,time,Noun,base,times,NaturalWikiText
* All Times Eastern,2,time,Noun,base,times,NaturalWikiText
The New York Times,3,time,Noun,base,times,NaturalWikiText
Los Angeles Times,2,time,Noun,base,times,NaturalWikiText
"James Ernest Newlands , [ sic ] Inf",5,sic,Verb,base,sic,NaturalWikiText
"Christmas Everyday ! [ sic ] ( 2006 , 2007 )",4,sic,Verb,base,sic,NaturalWikiText
""" [ sic ] Nathan S",2,sic,Verb,base,sic,NaturalWikiText
""" ( sic ) "" – 3 : 52",2,sic,Verb,base,sic,NaturalWikiText
20 JULY 1595 [ sic ],4,sic,Verb,base,sic,NaturalWikiText
"@ 0 % manufacturing , 14 @",3,manufacture,Noun,base,manufacturing,NaturalWikiText
@ 0 % manufacturing ; 6 @,3,manufacture,Noun,base,manufacturing,NaturalWikiText
"@ 1 per cent manufacturing , 10 @",4,manufacture,Noun,base,manufacturing,NaturalWikiText
"@ 3 % manufacturing , 11 @",3,manufacture,Noun,base,manufacturing,NaturalWikiText
"@ 5 % manufacturing , 12 @",3,manufacture,Noun,base,manufacturing,NaturalWikiText
"2010 : Sawdust , a performance evoking the traditions of historic American circuses",10,historic,Noun,singular,historic,NaturalWikiText
for the NWA World Historic Welterweight Championship,4,historic,Noun,singular,historic,NaturalWikiText
= = = Reunification of historic Imerina = = =,5,historic,Noun,singular,historic,NaturalWikiText
for the NWA World Historic Welterweight Championship,4,historic,Noun,singular,historic,NaturalWikiText
= = = Historic county revival = = =,3,historic,Noun,singular,historic,NaturalWikiText
"2010 : Sawdust , a performance evoking the traditions of historic American circuses",10,historic,Noun,positive,historic,NaturalWikiText
for the NWA World Historic Welterweight Championship,4,historic,Noun,positive,historic,NaturalWikiText
= = = Reunification of historic Imerina = = =,5,historic,Noun,positive,historic,NaturalWikiText
for the NWA World Historic Welterweight Championship,4,historic,Noun,positive,historic,NaturalWikiText
= = = Historic county revival = = =,3,historic,Noun,positive,historic,NaturalWikiText
= = = = 2015 Kentucky Derby = = = =,6,derby,Noun,singular,derby,NaturalWikiText
"1993 , Kentucky Derby Museum",3,derby,Noun,singular,derby,NaturalWikiText
"1990 , Kentucky Derby Museum",3,derby,Noun,singular,derby,NaturalWikiText
= 1973 Kentucky Derby =,3,derby,Noun,singular,derby,NaturalWikiText
"rivalry , Derby County F",2,derby,Noun,singular,derby,NaturalWikiText
Shift of stress to be universally penultimate,2,stress,Noun,base,stress,NaturalWikiText
The stress was overwhelming,1,stress,Noun,base,stress,NaturalWikiText
= = = Abiotic stress resistance = = =,4,stress,Noun,base,stress,NaturalWikiText
protect DNA from oxidative stress,4,stress,Noun,base,stress,NaturalWikiText
", he can forget stress , anxiety , frustration , dissatisfaction",4,stress,Noun,base,stress,NaturalWikiText
Shift of stress to be universally penultimate,2,stress,Noun,singular,stress,NaturalWikiText
The stress was overwhelming,1,stress,Noun,singular,stress,NaturalWikiText
= = = Abiotic stress resistance = = =,4,stress,Noun,singular,stress,NaturalWikiText
protect DNA from oxidative stress,4,stress,Noun,singular,stress,NaturalWikiText
", he can forget stress , anxiety , frustration , dissatisfaction",4,stress,Noun,singular,stress,NaturalWikiText
= = = Development of a constitution = = =,6,constitution,Noun,singular,constitution,NaturalWikiText
"Although enjoying immunity , the President is impeachable for violation of the Constitution",12,constitution,Noun,singular,constitution,NaturalWikiText
A new constitution was ratified on 9 December 1931,2,constitution,Noun,singular,constitution,NaturalWikiText
= = Constitution of 1793 = =,2,constitution,Noun,singular,constitution,NaturalWikiText
Amendments to the Constitution,3,constitution,Noun,singular,constitution,NaturalWikiText
"Proceedings of the American Philosophical Society , 106 , 135 @-@ 163",0,proceeding,Noun,plural,proceedings,NaturalWikiText
Proceedings of the Zoological Society of London 122 : 127 – 186 @,0,proceeding,Noun,plural,proceedings,NaturalWikiText
Proceedings of the Zoological Society of London 123 : 13 – 16 @,0,proceeding,Noun,plural,proceedings,NaturalWikiText
Proceedings of the Zoological Society of London 123 : 17 – 26 @,0,proceeding,Noun,plural,proceedings,NaturalWikiText
Can Civilizations Clash ? American Philosophical Society Proceedings vol,7,proceeding,Noun,plural,proceedings,NaturalWikiText
Treatment depends on the severity of the burn,7,burn,Noun,base,burn,NaturalWikiText
"Joshua Harold Burn , pharmacologist",2,burn,Noun,base,burn,NaturalWikiText
= Burn the Bastards =,1,burn,Noun,base,burn,NaturalWikiText
"l - "" Burn the Bastards "" ( LP edit ) ( 4 : 07 )",3,burn,Noun,base,burn,NaturalWikiText
"L - "" Burn the Bastards "" ( LP version ) ( 6 : 28 )",3,burn,Noun,base,burn,NaturalWikiText
Treatment depends on the severity of the burn,7,burn,Noun,singular,burn,NaturalWikiText
"Joshua Harold Burn , pharmacologist",2,burn,Noun,singular,burn,NaturalWikiText
= Burn the Bastards =,1,burn,Noun,singular,burn,NaturalWikiText
"l - "" Burn the Bastards "" ( LP edit ) ( 4 : 07 )",3,burn,Noun,singular,burn,NaturalWikiText
"L - "" Burn the Bastards "" ( LP version ) ( 6 : 28 )",3,burn,Noun,singular,burn,NaturalWikiText
"Tucker was a hardened sinner ,",0,tucker,Verb,base,tucker,NaturalWikiText
"Recollections of Eleanor Rosalie Tucker ( Lynchburg , 1819 )",4,tucker,Verb,base,tucker,NaturalWikiText
"Tucker , George ( 1824 )",0,tucker,Verb,base,tucker,NaturalWikiText
